Season 2 Ranking Wins

6位 : どろしあ (157敗20677勝, 勝率99.25%)
7位 : ミネルバのふくろう (148敗22257勝, 勝率99.34%)
8位 : 👻(ฅº👅ºฅ)👻 (115敗18216勝, 勝率99.37%)
9位 : はるかぜ (84敗12111勝, 勝率99.31%)
10位 : えにゅた (84敗12861勝, 勝率99.35%)
11位 : プロメテウス (74敗10668勝, 勝率99.31%)
12位 : KasaJizo (62敗8778勝, 勝率99.30%)
13位 : クラト@パーリーピーポー (58敗7648勝, 勝率99.25%)
14位 : drawcinya (45敗4279勝, 勝率98.96%)
15位 : サラダ (44敗5928勝, 勝率99.26%)
16位 : 死神 (31敗6155勝, 勝率99.50%)
17位 : ユウ (20敗2525勝, 勝率99.21%)
18位 : 冨田トランプ英明@そぱーゆ党 (19敗2087勝, 勝率99.10%)
19位 : でっていう (17敗2857勝, 勝率99.41%)
20位 : ラブオ (16敗1968勝, 勝率99.19%)
21位 : そばゆ (15敗2515勝, 勝率99.41%)
22位 : 硬是在前面加幾字Leo (8敗1462勝, 勝率99.46%)
23位 : パールネ (8敗1899勝, 勝率99.58%)
24位 : ぴの (7敗701勝, 勝率99.01%)
25位 : ソニア (7敗1100勝, 勝率99.37%)
26位 : RyuNotch/ぜろりゅー (6敗401勝, 勝率98.53%)
27位 : ひろかず (6敗628勝, 勝率99.05%)
28位 : くれい(CLAY) (6敗713勝, 勝率99.17%)
29位 : すきやき (6敗943勝, 勝率99.37%)
30位 : にゃん⌒ (5敗452勝, 勝率98.91%)
31位 : 🤓 (5敗723勝, 勝率99.31%)
32位 : ねむい (3敗641勝, 勝率99.53%)
33位 : 彧瓈 (3敗813勝, 勝率99.63%)
34位 : みけฅ( • ·̫ • ฅ)＠mikeneko10.14 (2敗242勝, 勝率99.18%)
35位 : もこみち (2敗247勝, 勝率99.20%)
36位 : シュガー♪ (2敗276勝, 勝率99.28%)
37位 : はす (2敗330勝, 勝率99.40%)
38位 : アイナック (2敗339勝, 勝率99.41%)
39位 : 🍉🍉 (2敗346勝, 勝率99.43%)
40位 : るっぺらぴっちょん (2敗361勝, 勝率99.45%)
41位 : ジェ (2敗369勝, 勝率99.46%)
42位 : 雨傘 (2敗465勝, 勝率99.57%)
43位 : Salmon_P_0517 (1敗9勝, 勝率90.00%)
44位 : ハカメモリー (1敗27勝, 勝率96.43%)
45位 : 真田快來 (1敗34勝, 勝率97.14%)
46位 : てってー！ (1敗35勝, 勝率97.22%)
47位 : 某prprのリア友 sei(せい) (1敗50勝, 勝率98.04%)
48位 : Hakusyoku (1敗90勝, 勝率98.90%)
49位 : 貴音_狼耳しか勝たん (1敗157勝, 勝率99.37%)
50位 : ゼロ (1敗270勝, 勝率99.63%)
51位 : ATM (0敗1勝, 勝率100.00%)
52位 : つぶあん派 (0敗1勝, 勝率100.00%)
53位 : しうん (0敗1勝, 勝率100.00%)
54位 : こんにゃく (0敗1勝, 勝率100.00%)
55位 : ぺこり (0敗1勝, 勝率100.00%)
56位 : ぴうりん。 (0敗1勝, 勝率100.00%)
57位 : yzyt (0敗1勝, 勝率100.00%)
58位 : きょねざい (0敗1勝, 勝率100.00%)
59位 : パルル (0敗1勝, 勝率100.00%)
60位 : Sio (0敗2勝, 勝率100.00%)
61位 : 輪ゴム (0敗2勝, 勝率100.00%)
62位 : sugas (0敗2勝, 勝率100.00%)
63位 : のすけ (0敗3勝, 勝率100.00%)
64位 : ARM交易会社最高責任者兼CEO アルマゲドン (0敗4勝, 勝率100.00%)
65位 : ドレミー (0敗4勝, 勝率100.00%)
66位 : Mr.croqutter (0敗6勝, 勝率100.00%)
